smiles,hit0,hit1
[H]OC(=O)[C@]1([H])[C@]([H])(c2c([H])sc([H])c2[H])C([H])([H])C([H])([H])[C@]12ON([H])[C@]([H])(C([H])([H])[H])N2[H],7ga1-a,8v7u-a
[H]c1sc(F)c2c1[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C(=O)/N=C(/N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])N2[H],7ga1-a,7g9m-a
[H]OC(=O)[C@@]1([H])[C@@]([H])(C(=O)OC([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])c1c([H])sc([H])c1[H],7ga1-a,7g9t-a
[H]OC(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])[C@@]1([H])C([H])([H])S[C@@]2(C([H])([H])C([H])([H])[C@]([H])(OC([H])([H])[H])[C@]([H])(N([H])C(=O)C([H])([H])N([H])[H])C2([H])[H])C1([H])[H],7ga1-a,5rhg-a
[H]OC(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])c1c([H])sc(S(=O)(=O)C([H])([H])[H])c1C(=O)OC([H])([H])[H],7ga1-a,7ga2-a
[H]OC(=O)[C@]1([H])[C@]([H])(c2c([H])sc([H])c2[H])C([H])([H])C([H])([H])[C@@]1([H])N([H])N(c1c([H])c([H])c(C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C(=O)N([H])C(=O)N2[H])c([H])c1[H])C([H])([H])[H],7ga1-a,8v7r-b
[H]OC(=O)[C@@]1([H])C([H])([H])[C@]2([H])C3=C(C([H])([H])N([H])C2([H])[H])C([H])([H])N([H])[C@@]([H])(C([H])([H])C([H])([H])[H])[C@]2(C([H])([H])SC([H])([H])C2([H])[H])[C@]31[H],7ga1-a,7g9y-a
[H]OC(=O)[C@@]1([H])C([H])([H])[C@@]([H])(N([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])C(F)(F)F)C([H])([H])C2([H])[H])C([H])([H])[C@@]1([H])c1c([H])sc([H])c1[H],7ga1-a,7g9k-a
[H]N(C(=O)C([H])([H])[C@@]1([H])[C@]([H])(F)C([H])([H])C([H])([H])[C@@]1([H])N([H])C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])c1nc(C([H])([H])[H])no1,8v7u-a,7g9m-a
[H]ON1C(N([H])C(=O)C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])ONC1C([H])([H])[H],8v7u-a,7g9t-a
[H]N(C(=O)C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])(N(C(=O)C([H])([H])N([H])[H])C([H])([H])OC([H])([H])[H])C1([H])[H])c1nc(C([H])([H])[H])no1,8v7u-a,5rhg-a
[H]O[C@]1(OC([H])([H])[H])[C@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])C(=O)N([H])c2nc(C([H])([H])[H])no2)C([H])([H])[C@]1([H])S(=O)(=O)C([H])([H])[H],8v7u-a,7ga2-a
[H]c1c([H])c(C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C(=O)N([H])C(=O)N2[H])c([H])c([H])c1OC([H])([H])c1noc(N([H])C(=O)C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])n1,8v7u-a,8v7r-b
[H]N(C(=O)C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])c1nc(C([H])([H])[H])c(C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])C(F)(F)F)C([H])([H])C2([H])[H])o1,8v7u-a,7g9k-a
[H]C1:C(C([H])([H])C([H])([H])C([H])([H])[H]):C(=O):O:C(N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H]):N:C1C([H])([H])C([H])([H])[C@@]([H])(F)C([H])([H])[H],7g9m-a,7ga1-a
[H]c1c([H])c(N([H])C(=O)N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])c(C(=O)N([H])c2nc(C([H])([H])[H])no2)c([H])c1F,7g9m-a,8v7u-a
[H]C(=O)[C@@](C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])(c1c([H])c([H])c(F)c([H])c1[H])C([H])([H])C(=O)OC([H])([H])[H],7g9m-a,7g9t-a
[H]OC([H])([H])C([H])([H])C1(C(=O)N([H])c2c([H])c([H])c(F)c([H])c2N([H])C(=O)C([H])([H])N([H])[H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H],7g9m-a,5rhg-a
[H]c1c([H])c(N([H])C(=O)N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])c(C(=O)OC([H])([H])[H])c(S(=O)(=O)C([H])([H])[H])c1F,7g9m-a,7ga2-a
[H]O[C@]1([H])C([H])([H])S(=O)(=O)[C@]1([H])C([H])([H])N([H])C([H])([H])N1C([H])([H])C([H])([H])N(C(=O)N([H])c2c([H])c([H])c(F)c([H])c2[H])C([H])([H])C1([H])[H],7g9m-a,7ga3-a
[H]c1c([H])c(N([H])C(=O)N2C([H])([H])C([H])([H])N(C([H])([H])N([H])[C@]([H])(C([H])([H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])[C@]3(C([H])([H])[H])C(=O)N([H])C(=O)N3[H])C([H])([H])C2([H])[H])c([H])c([H])c1F,7g9m-a,8v7r-b
[H]C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[C@]12C1=C(N([H])[C@]3(N([H])C1([H])[H])C([H])([H])C([H])([H])[C@]([H])(OC([H])([H])C([H])([H])[H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])N2[H],7g9m-a,7g9y-a
[H]c1c([H])c(N([H])C(=O)N2C([H])([H])C([H])([H])N([C@@]3([H])N([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])C(F)(F)F)C3([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1F,7g9m-a,7g9k-a
[H]c1nn2nnnc2c([H])c1N([H])[C@]([H])(C(=O)N([H])c1c([H])c(C([H])([H])[H])c([H])c([H])c1OC([H])([H])[H])N([H])[H],8um3-a,5rhg-a
[H]c1nn2nnnc2c(C([H])([H])C([H])([H])N([H])C([H])([H])OC(=O)[C@]2(C([H])([H])[H])N(S(=O)(=O)C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H])c1[H],8um3-a,7ga2-a
[H]O[C@@]1(O)C([H])([H])C2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])[C@]([H])(C(=O)OC([H])([H])[H])C1([H])[H],7g9t-a,7ga1-a
[H]ON1:C(N([H])C(=O)C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])ON:C1C([H])([H])[H],7g9t-a,8v7u-a
[H]C([H])([H])OC(=O)C([H])([H])N(C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])C(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(F)C1([H])[H],7g9t-a,7g9m-a
[H]N([H])C([H])([H])C(=O)N([H])[C@@]1([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])C(=O)OC([H])([H])[H])[C@]1([H])OC([H])([H])[H],7g9t-a,5rhg-a
[H]O[C@]1(OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])C(=O)OC([H])([H])[H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C(=O)OC([H])([H])[H],7g9t-a,7ga2-a
[H]c1c([H])c(C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C(=O)N([H])C(=O)N2[H])c([H])c([H])c1N(C(=O)C([H])([H])N([H])C(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H],7g9t-a,8v7r-b
[H]OC(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])[C@@]1([H])C([H])([H])S[C@@]2(C([H])([H])C([H])([H])[C@]([H])(OC([H])([H])[H])[C@]([H])(N([H])C(=O)C([H])([H])N([H])[H])C2([H])[H])C1([H])[H],5rhg-a,7ga1-a
[H]c1c(N([H])C(=O)C([H])([H])N([H])[H])c(OC([H])([H])[H])c([H])c(C([H])([H])C(=O)N([H])c2nc(C([H])([H])[H])no2)c1C([H])([H])[H],5rhg-a,8v7u-a
[H]c1c(N([H])C(=O)N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])c(OC([H])([H])[H])c(N([H])C(=O)C([H])([H])N([H])[H])c([H])c1C([H])([H])[H],5rhg-a,7g9m-a
[H]c1nn2nnnc2c([H])c1N([H])[C@]([H])(C(=O)N([H])c1c([H])c(C([H])([H])[H])c([H])c([H])c1OC([H])([H])[H])N([H])[H],5rhg-a,8um3-a
[H]c1c(OC([H])([H])[H])c(N([H])C(=O)C([H])([H])N([H])[H])c([H])c(C([H])([H])[H])c1C(=O)N([H])C([H])([H])C(=O)OC([H])([H])[H],5rhg-a,7g9t-a
[H]ON(C([H])([H])[H])[C@@]1([H])C([H])([H])[C@@]([H])(S(=O)(=O)C([H])([H])[H])C2(C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])[C@@]1([H])N([H])C(=O)C([H])([H])N([H])[H],5rhg-a,7ga2-a
[H]OC(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]12C([H])([H])N(S(=O)(=O)C([H])([H])[H])[C@](C(=O)OC([H])([H])[H])(C([H])([H])[H])C2([H])[H],7ga2-a,7ga1-a
[H]N(C(=O)[C@@]1([H])C([H])([H])N(S(=O)(=O)C([H])([H])[H])[C@](C(=O)OC([H])([H])[H])(C([H])([H])[H])C1([H])[H])c1nc(C([H])([H])[H])no1,7ga2-a,8v7u-a
[H]N(C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])[C@@]1([H])C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])[H])[C@]1(C(=O)OC([H])([H])[H])C([H])([H])[H],7ga2-a,7g9m-a
[H]c1nn2nnnc2c(C([H])([H])C([H])([H])N([H])C([H])([H])OC(=O)[C@]2(C([H])([H])[H])N(S(=O)(=O)C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H])c1[H],7ga2-a,8um3-a
[H]N(C(=O)[C@@]1([H])C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])[H])[C@]1(C(=O)OC([H])([H])[H])C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])[H],7ga2-a,7g9t-a
[H]C1=C(C(=O)C([H])([H])N([H])[H])C(C([H])([H])C([H])([H])[H])=C([H])N2:C1C([H])([H])C([H])([H])C2([H])[H],7ga2-a,5rhg-a
[H]O[C@]1([H])C([H])([H])S(=O)(=O)[C@]1([H])N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N(C(=O)N([H])c2c([H])c([H])c(F)c([H])c2[H])C([H])([H])C1([H])[H],7ga3-a,7g9m-a
[H]O[C@]1([H])C([H])([H])S(=O)(=O)[C@]1(C([H])([H])[H])C([H])([H])C([H])([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],7ga3-a,8v7r-b
[H]/C(=N\C1([H])C([H])([H])S(=O)(=O)C1([H])[H])N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],7ga3-a,7g9k-a
[H]OC(=O)[C@@]1([H])[C@]([H])(C([H])([H])N(c2c([H])c([H])c(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)N([H])C(=O)N3[H])c([H])c2[H])C([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])c1c([H])sc([H])c1[H],8v7r-b,7ga1-a
[H]c1c([H])c(C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C(=O)N([H])C(=O)N2[H])c([H])c([H])c1OC([H])([H])c1noc(N([H])C(=O)C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])n1,8v7r-b,8v7u-a
[H]c1c([H])c(N([H])C(=O)N2C([H])([H])C([H])([H])N(C([H])([H])N([H])[C@]([H])(C([H])([H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])[C@]3(C([H])([H])[H])C(=O)N([H])C(=O)N3[H])C([H])([H])C2([H])[H])c([H])c([H])c1F,8v7r-b,7g9m-a
[H]c1c([H])c(C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C(=O)N([H])C(=O)N2[H])c([H])c([H])c1N(C(=O)C([H])([H])N([H])C(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H],8v7r-b,7g9t-a
[H]c1c([H])c(C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C(=O)C(=O)C(=O)N2[H])c([H])c([H])c1OC([H])([H])[H],8v7r-b,7ga3-a
[H]c1nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])nc2c1C([H])([H])N([H])[C@@]([H])(N([H])c1c([H])c(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)N([H])C(=O)N3[H])c([H])c([H])c1OC([H])([H])[H])C2([H])[H],8v7r-b,7g9y-a
[H]N1C(=O)[C@](N2C([H])([H])C([H])([H])C3(C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])(OC([H])([H])[H])C([H])([H])C3([H])[H])(C([H])([H])[H])N([H])/C1=N\C([H])([H])F,8v7r-b,7g9k-a
[H]C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[C@@]12C1=C(N([H])[C@]3(N([H])C1([H])[H])C([H])([H])C([H])([H])[C@]([H])(ON([H])C([H])([H])[H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])N2[H],7g9y-a,7g9m-a
[H]N(C(=O)N1C2=C(C([H])([H])N([H])C([H])([H])C2([H])[H])C([H])([H])N([H])[C@@]12C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]2([H])C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])[H],7g9y-a,7g9t-a
[H]C1[C@H]2C(N[C@@H]3[C@H](C([H])([H])[H])[C@H](C([H])([H])N([H])C([H])([H])[H])C(N([H])C(=O)C([H])([H])N([H])[H])[C@@H](OC([H])([H])[H])N13)C([H])([H])C([H])([H])N([H])C2([H])[H],7g9y-a,5rhg-a
[H]c1nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])nc2c1C([H])([H])N([H])[C@@]([H])(N([H])c1c([H])c(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)N([H])C(=O)N3[H])c([H])c([H])c1OC([H])([H])[H])C2([H])[H],7g9y-a,8v7r-b
[H]c1nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])nc2c1C([H])([H])N(C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N(C(=O)C([H])([H])C(F)(F)F)C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],7g9y-a,7g9k-a
[H]OC(=O)[C@@]1([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])C(F)(F)F)C([H])([H])C2([H])[H])C([H])([H])[C@@]1([H])c1c([H])sc([H])c1[H],7g9k-a,7ga1-a
[H]N(C(=O)C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])c1nc(C([H])([H])[H])c(C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])C(F)(F)F)C([H])([H])C2([H])[H])o1,7g9k-a,8v7u-a
[H]c1c([H])c(N([H])C(=O)N2C([H])([H])C([H])([H])N([C@@]3([H])N([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])C(F)(F)F)C3([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1F,7g9k-a,7g9m-a
[H]O[C@]1(N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])C(=O)[S@@](=O)C1([H])[H],7g9k-a,7ga3-a
[H]O[C@@]1(N([H])F)N([H])C(=O)[C@@]([H])(N2C([H])([H])C([H])([H])C3(C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])(OC([H])([H])[H])C([H])([H])C3([H])[H])N1[H],7g9k-a,8v7r-b
[H]c1nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])nc2c1C([H])([H])N(C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N(C(=O)C([H])([H])C(F)(F)F)C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],7g9k-a,7g9y-a
